description,label
"Umapaw na ang sapa dito sa Sitio Daisy dahil sa walang tigil na ulan.",Flood (Baha) 
"Baha na naman sa tapat ng chapel dito sa Sitio Sampaguita.",Flood (Baha) 
"Mabilis tumaas ang tubig-baha dito sa Sitio Rosas.",Flood (Baha) 
"Kailangan na po ng rescue boat sa Sitio Daisy, lubog na ang mga daan.",Flood (Baha)
"Grabe ang baha rito sa Sitio Sampaguita, abot-tuhod na ang tubig.",Flood (Baha)
"Pinasok na ng baha ang mga kabahayan sa mababang bahagi ng Sitio Rosas.",Flood (Baha)
"Barado ang mga kanal kaya bumabaha na rito sa Sitio Daisy.",Flood (Baha)
"Humihingi kami ng tulong sa barangay, stranded kami rito sa Sitio Sampaguita dahil sa baha.",Flood (Baha)
"Flash Flood  dito sa Sitio Rosas, mabilis ang agos ng tubig.",Flood (Baha)
"Lubog sa tubig ang kalsada sa Sitio Daisy, hindi na madaanan ng tricycle o motor.",Flood (Baha)
"Bumaha na naman dahil sa malakas na buhos ng ulan dito sa Sitio Sampaguita.",Flood (Baha)
"Kasalukuyang nag-eevacuate ang mga residente sa Sitio Rosas dahil sa baha.",Flood (Baha)
"Ang baha rito sa Sitio Daisy ay abot-dibdib na, pakisabi sa DRRMO.",Flood (Baha)
"Umapaw ang drainage system dito sa Sitio Sampaguita, baha na ang buong kalsada.",Flood (Baha)
"Naka-red alert na ang Sitio Rosas dahil sa patuloy na pagtaas ng tubig-baha.",Flood (Baha)
"Kailangan ng agarang tulong ng mga matatanda rito sa Sitio Daisy dahil pinasok ng baha ang bahay.",Flood (Baha)
"Nagmistulang ilog ang daan sa Sitio Sampaguita dahil sa matinding baha.",Flood (Baha)
"Paubos na ang tuyong lugar dito sa Sitio Rosas dahil sa baha.",Flood (Baha)
"Sira ang mga pananim sa Sitio Daisy dahil nalubog sa baha.",Flood (Baha)
"Mag-ingat po ang mga dadaan sa Sitio Sampaguita, malalim ang baha ngayon.",Flood (Baha)
"Umapaw na ang sapa dito sa Sitio Daisy dahil sa walang tigil na ulan.",Flood (Baha)
"Baha na naman sa tapat ng chapel dito sa Sitio Sampaguita.",Flood (Baha)
"Mabilis tumaas ang tubig-baha dito sa Sitio Rosas.",Flood (Baha)
"Kailangan na po ng rescue boat sa Sitio Daisy, lubog na ang mga daan.",Flood (Baha)
"Grabe ang baha rito sa Sitio Sampaguita, abot-tuhod na ang tubig.",Flood (Baha)
"Pinasok na ng baha ang mga kabahayan sa mababang bahagi ng Sitio Rosas.",Flood (Baha)
"Barado ang mga kanal kaya bumabaha na rito sa Sitio Daisy.",Flood (Baha)
"Humihingi kami ng tulong sa barangay, stranded kami rito sa Sitio Sampaguita dahil sa baha.",Flood (Baha)
"Flash flood dito sa Sitio Rosas, mabilis ang agos ng tubig.",Flood (Baha)
"Lubog sa tubig ang kalsada sa Sitio Daisy, hindi na madaanan ng tricycle o motor.",Flood (Baha)
"Bumaha na naman dahil sa malakas na buhos ng ulan dito sa Sitio Sampaguita.",Flood (Baha)
"Kasalukuyang nag-eevacuate ang mga residente sa Sitio Rosas dahil sa baha.",Flood (Baha)
"Ang baha rito sa Sitio Daisy ay abot-dibdib na, pakisabi sa DRRMO.",Flood (Baha)
"Umapaw ang drainage system dito sa Sitio Sampaguita, baha na ang buong kalsada.",Flood (Baha)
"Naka-red alert na ang Sitio Rosas dahil sa patuloy na pagtaas ng tubig-baha.",Flood (Baha)
"Kailangan ng agarang tulong ng mga matatanda rito sa Sitio Daisy dahil pinasok ng baha ang bahay.",Flood (Baha)
"Nagmistulang ilog ang daan sa Sitio Sampaguita dahil sa matinding baha.",Flood (Baha)
"Paubos na ang tuyong lugar dito sa Sitio Rosas dahil sa baha.",Flood (Baha)
"Sira ang mga pananim sa Sitio Daisy dahil nalubog sa baha.",Flood (Baha)
"Mag-ingat po ang mga dadaan sa Sitio Sampaguita, malalim ang baha ngayon.",Flood (Baha)
"Kailangan na po mag-evacuate ng mga taga Sitio Rosas, lagpas tao na ang baha.",Flood (Baha)
"Ang lakas ng ulan, sigurado baha na naman sa main road ng Sitio Daisy.",Flood (Baha)
"Paki-check naman po ang Sitio Sampaguita, mabilis daw umaakyat ang tubig-baha.",Flood (Baha)
"Baha na hanggang bewang dito sa looban ng Sitio Rosas, humihingi po kami ng tulong.",Flood (Baha)
"Hindi na makalabas ng bahay ang mga tao sa Sitio Daisy dahil lubog sa tubig.",Flood (Baha)
"Sana may mag-ikot na rescue team dito sa Sitio Sampaguita, mataas na po ang baha.",Flood (Baha)
"Delikado na dumaan ang mga sasakyan sa Sitio Rosas, mataas ang tubig-baha sa kalsada.",Flood (Baha)
"Umapaw na ang creek dito malapit sa Sitio Daisy, baha na agad.",Flood (Baha)
