description,label
A thief entered the house,Burglary (Akyat Bahay)
Loud karaoke at night,Noise Complaint (Reklamo sa Maingay)
Flood water entered the house,Flood (Baha)
Two vehicles collided,Accident (Aksidente)
May sunog sa bahay,Fire (Sunog)
May akyat bahay,Burglary (Akyat Bahay)
May baha sa barangay,Flood (Baha)
The house is on fire,Fire (Sunog)
May baha sa barangay,Flood (Baha)
Flood water entered the house,Flood (Baha)
Ginsulod sang baha ang balay,Flood (Baha)
May kumuha ng bag ko,Theft (Pagnanakaw)
Ninakaw ang motor ko,Theft (Pagnanakaw)
Hinoldap ang tindahan,Robbery (Panghoholdap)
May holdaper sa jeep,Robbery (Panghoholdap)
May apoy sa tindahan,Fire (Sunog)
Pumasok ang magnanakaw,Burglary (Akyat Bahay)
May videoke buong gabi,Noise Complaint (Reklamo sa Maingay)
Someone stole my phone,Theft (Pagnanakaw)
Pumasok ang magnanakaw,Burglary (Akyat Bahay)
Sinira ang pinto,Burglary (Akyat Bahay)
May sunog sa bahay,Fire (Sunog)
May nagnakaw ng cellphone ko,Theft (Pagnanakaw)
Naaksidente ang rider,Accident (Aksidente)
Kinuha ang pera,Robbery (Panghoholdap)
May rambol sa plaza,Violence (Karahasan)
May sunog sa bahay,Fire (Sunog)
A thief entered the house,Burglary (Akyat Bahay)
Store was robbed,Robbery (Panghoholdap)
Nagbanggaan ang motor,Accident (Aksidente)
May baha sa barangay,Flood (Baha)
Nagadilaab ang balay,Fire (Sunog)
Hinoldap ang tindahan,Robbery (Panghoholdap)
May videoke buong gabi,Noise Complaint (Reklamo sa Maingay)
May nagnakaw ng cellphone ko,Theft (Pagnanakaw)
Smoke coming from house,Fire (Sunog)
Smoke coming from house,Fire (Sunog)
Ninakaw ang motor ko,Theft (Pagnanakaw)
A thief entered the house,Burglary (Akyat Bahay)
Hindi makatulog dahil sa ingay,Noise Complaint (Reklamo sa Maingay)
Sinira ang pinto,Burglary (Akyat Bahay)
May nag-aaway sa kalsada,Violence (Karahasan)
May rambol sa plaza,Violence (Karahasan)
Binugbog ang lalaki,Violence (Karahasan)
Two men are fighting,Violence (Karahasan)
The house is on fire,Fire (Sunog)
Nagadilaab ang balay,Fire (Sunog)
May baha sa barangay,Flood (Baha)
May nagnakaw ng cellphone ko,Theft (Pagnanakaw)
May rambol sa plaza,Violence (Karahasan)
Kinuha ang pera,Robbery (Panghoholdap)
May nag-aaway sa kalsada,Violence (Karahasan)
May nagnakaw ng cellphone ko,Theft (Pagnanakaw)
Gin kawat ang akon cp,Theft (Pagnanakaw)
May saksakan sa barangay,Violence (Karahasan)
Smoke coming from house,Fire (Sunog)
The house is on fire,Fire (Sunog)
Flood water entered the house,Flood (Baha)
Gin kawat ang akon cp,Theft (Pagnanakaw)
May sunog sa bahay,Fire (Sunog)
May sunog sa bahay,Fire (Sunog)
May nag-aaway sa kalsada,Violence (Karahasan)
Ginsulod sang baha ang balay,Flood (Baha)
May rambol sa plaza,Violence (Karahasan)
Ginsulod sang baha ang balay,Flood (Baha)
Loud karaoke at night,Noise Complaint (Reklamo sa Maingay)
Maingay ang kapitbahay,Noise Complaint (Reklamo sa Maingay)
May aksidente sa kalsada,Accident (Aksidente)
May sunog sa bahay,Fire (Sunog)
May baha sa barangay,Flood (Baha)
Two vehicles collided,Accident (Aksidente)
Sobrang lakas ng music,Noise Complaint (Reklamo sa Maingay)
Nagadilaab ang balay,Fire (Sunog)
Lubog ang kalsada,Flood (Baha)
Umaapaw ang ilog,Flood (Baha)
Someone stole my phone,Theft (Pagnanakaw)
Disgrasya sa daan,Accident (Aksidente)
May kumuha ng bag ko,Theft (Pagnanakaw)
Gin kawat ang akon cp,Theft (Pagnanakaw)
Naaksidente ang rider,Accident (Aksidente)
Loud karaoke at night,Noise Complaint (Reklamo sa Maingay)
Two vehicles collided,Accident (Aksidente)
Nagadilaab ang balay,Fire (Sunog)
Lubog ang kalsada,Flood (Baha)
Nagadilaab ang balay,Fire (Sunog)
May apoy sa tindahan,Fire (Sunog)
May holdaper sa jeep,Robbery (Panghoholdap)
May baha sa barangay,Flood (Baha)
Naaksidente ang rider,Accident (Aksidente)
A thief entered the house,Burglary (Akyat Bahay)
Naaksidente ang rider,Accident (Aksidente)
Lubog ang kalsada,Flood (Baha)
May holdaper sa jeep,Robbery (Panghoholdap)
Kinuha ang pera,Robbery (Panghoholdap)
Pumasok ang magnanakaw,Burglary (Akyat Bahay)
Disgrasya sa daan,Accident (Aksidente)
May apoy sa tindahan,Fire (Sunog)
The house is on fire,Fire (Sunog)
Sobrang lakas ng music,Noise Complaint (Reklamo sa Maingay)
Lubog ang kalsada,Flood (Baha)
Nagadilaab ang balay,Fire (Sunog)
Sinira ang pinto,Burglary (Akyat Bahay)
Flood water entered the house,Flood (Baha)
Sinira ang pinto,Burglary (Akyat Bahay)
Someone stole my phone,Theft (Pagnanakaw)
Nagbanggaan ang motor,Accident (Aksidente)
May akyat bahay,Burglary (Akyat Bahay)
May holdaper sa jeep,Robbery (Panghoholdap)
May videoke buong gabi,Noise Complaint (Reklamo sa Maingay)
Gin kawat ang akon cp,Theft (Pagnanakaw)
Binugbog ang lalaki,Violence (Karahasan)
May saksakan sa barangay,Violence (Karahasan)
May nag-aaway sa kalsada,Violence (Karahasan)
Disgrasya sa daan,Accident (Aksidente)
May videoke buong gabi,Noise Complaint (Reklamo sa Maingay)
May apoy sa tindahan,Fire (Sunog)
Kinuha ang pera,Robbery (Panghoholdap)
Pumasok ang magnanakaw,Burglary (Akyat Bahay)
May sunog sa bahay,Fire (Sunog)
Two men are fighting,Violence (Karahasan)
Ginsulod sang baha ang balay,Flood (Baha)
Two vehicles collided,Accident (Aksidente)
May apoy sa tindahan,Fire (Sunog)
May apoy sa tindahan,Fire (Sunog)
Binugbog ang lalaki,Violence (Karahasan)
Nagbanggaan ang motor,Accident (Aksidente)
The house is on fire,Fire (Sunog)
Umaapaw ang ilog,Flood (Baha)
Nagbanggaan ang motor,Accident (Aksidente)
May aksidente sa kalsada,Accident (Aksidente)
Flood water entered the house,Flood (Baha)
Nagadilaab ang balay,Fire (Sunog)
Nagbanggaan ang motor,Accident (Aksidente)
Sobrang lakas ng music,Noise Complaint (Reklamo sa Maingay)
Smoke coming from house,Fire (Sunog)
